Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
29/03/2025,18:00,St Etienne,Paris SG,1,6,A,1,1,D,11,22,2,10,3,6,9,12,2,0,0,0
29/03/2025,20:05,Monaco,Nice,2,1,H,0,1,A,17,9,6,4,7,4,17,14,2,4,0,1
30/03/2025,14:00,Toulouse,Brest,2,4,A,0,2,A,17,10,4,5,10,3,10,18,0,5,0,0
30/03/2025,16:15,Angers,Rennes,0,3,A,0,1,A,9,14,4,6,6,5,10,16,1,0,0,0
30/03/2025,16:15,Auxerre,Montpellier,1,0,H,0,0,D,21,12,6,1,10,6,14,14,3,1,0,0
30/03/2025,16:15,Le Havre,Nantes,3,2,H,2,1,H,16,7,5,2,3,4,16,9,1,2,0,0
30/03/2025,19:45,Lille,Lens,1,0,H,1,0,H,11,5,5,2,6,2,13,15,1,3,0,0
04/04/2025,19:45,Nice,Nantes,1,2,A,1,2,A,21,8,9,4,11,2,9,14,1,1,0,0
05/04/2025,16:00,Paris SG,Angers,1,0,H,0,0,D,20,5,6,0,5,1,7,12,0,3,0,0
05/04/2025,18:00,Brest,Monaco,2,1,H,1,0,H,13,10,4,3,2,9,13,16,3,2,0,0
05/04/2025,20:05,Lyon,Lille,2,1,H,1,1,D,10,10,4,4,1,3,15,14,3,2,0,0
06/04/2025,14:00,Lens,St Etienne,1,0,H,0,0,D,20,8,5,3,6,3,14,20,3,2,0,0
06/04/2025,16:15,Montpellier,Le Havre,0,2,A,0,2,A,14,13,6,4,5,2,15,7,1,1,1,0
06/04/2025,16:15,Reims,Strasbourg,0,1,A,0,1,A,14,13,7,4,4,7,11,9,2,2,1,1
06/04/2025,16:15,Rennes,Auxerre,0,1,A,0,0,D,18,11,5,3,8,5,10,5,0,0,0,0
06/04/2025,19:45,Marseille,Toulouse,3,2,H,1,1,D,9,8,4,3,5,1,11,15,2,3,0,0
11/04/2025,19:45,Lens,Reims,0,2,A,0,1,A,37,10,14,2,9,2,9,7,1,0,0,0
12/04/2025,16:00,Monaco,Marseille,3,0,H,1,0,H,15,8,10,4,4,4,6,18,2,1,0,0
12/04/2025,18:00,Toulouse,Lille,1,2,A,1,2,A,10,6,5,3,4,2,15,11,1,2,0,0
12/04/2025,20:05,Strasbourg,Nice,2,2,D,0,1,A,11,23,4,6,2,9,5,8,1,2,0,0
13/04/2025,14:00,St Etienne,Brest,3,3,D,2,3,A,9,14,4,6,7,9,21,18,2,4,0,0
13/04/2025,16:15,Angers,Montpellier,2,0,H,2,0,H,10,4,4,1,6,1,12,13,0,2,0,0
13/04/2025,16:15,Le Havre,Rennes,1,5,A,1,3,A,11,10,2,6,4,3,16,11,2,3,0,0
13/04/2025,19:45,Auxerre,Lyon,1,3,A,0,0,D,14,13,3,7,3,6,11,9,3,1,0,0
18/04/2025,19:45,Rennes,Nantes,2,1,H,1,0,H,19,4,5,1,10,2,24,13,3,5,0,1
19/04/2025,16:00,Paris SG,Le Havre,2,1,H,1,0,H,18,9,11,1,7,3,7,10,0,0,0,0
19/04/2025,18:00,Monaco,Strasbourg,0,0,D,0,0,D,12,5,4,2,3,2,18,10,3,3,0,0
19/04/2025,20:05,Marseille,Montpellier,5,1,H,1,0,H,18,6,8,1,7,2,11,11,2,2,0,0
20/04/2025,14:00,Lille,Auxerre,3,1,H,2,0,H,15,7,9,3,8,4,8,13,1,2,0,0
20/04/2025,16:15,Brest,Lens,1,3,A,1,2,A,11,17,5,9,7,6,11,11,0,0,1,0
20/04/2025,16:15,Nice,Angers,2,1,H,1,0,H,22,5,8,2,4,2,10,8,1,1,0,0
20/04/2025,16:15,Reims,Toulouse,1,0,H,1,0,H,8,18,2,6,0,9,11,12,1,0,0,1
20/04/2025,19:45,St Etienne,Lyon,2,1,H,1,0,H,18,14,6,2,8,6,12,13,3,4,0,0
22/04/2025,19:45,Nantes,Paris SG,1,1,D,0,1,A,8,10,2,5,4,4,5,9,2,0,0,0
25/04/2025,19:45,Paris SG,Nice,1,3,A,1,1,D,32,7,13,3,17,0,9,11,3,1,0,0
26/04/2025,16:00,Strasbourg,St Etienne,3,1,H,1,1,D,18,17,7,6,5,8,10,7,1,0,0,0
26/04/2025,18:00,Le Havre,Monaco,1,1,D,1,0,H,9,19,3,7,3,6,12,13,1,0,0,0
26/04/2025,20:05,Lyon,Rennes,4,1,H,3,0,H,14,10,8,4,7,2,12,9,0,0,0,0
27/04/2025,14:00,Angers,Lille,0,2,A,0,1,A,6,9,3,5,7,2,17,10,1,5,0,1
27/04/2025,16:15,Lens,Auxerre,0,4,A,0,3,A,16,12,5,8,8,1,12,13,4,4,1,0
27/04/2025,16:15,Montpellier,Reims,0,0,D,0,0,D,12,8,2,3,5,5,17,13,3,3,0,0
27/04/2025,16:15,Nantes,Toulouse,0,0,D,0,0,D,11,6,3,3,3,5,13,11,2,3,0,1
27/04/2025,19:45,Marseille,Brest,4,1,H,3,1,H,11,9,7,4,4,3,14,16,1,4,0,0
02/05/2025,19:45,Nice,Reims,1,0,H,1,0,H,8,16,2,3,5,3,14,21,2,2,0,0
03/05/2025,16:00,Strasbourg,Paris SG,2,1,H,2,0,H,9,20,2,4,6,2,14,13,1,2,0,0
03/05/2025,18:00,Toulouse,Rennes,2,1,H,1,0,H,9,15,3,6,6,5,7,15,2,2,0,0
03/05/2025,20:05,St Etienne,Monaco,1,3,A,0,1,A,11,12,1,6,6,5,15,12,0,0,0,0
04/05/2025,14:00,Nantes,Angers,0,1,A,0,0,D,8,14,3,2,4,6,12,16,2,3,0,0
04/05/2025,16:15,Auxerre,Le Havre,1,2,A,0,0,D,4,11,1,5,0,9,11,10,2,1,0,0
04/05/2025,16:15,Brest,Montpellier,1,0,H,1,0,H,16,6,5,1,4,6,14,18,1,2,0,0
04/05/2025,16:15,Lyon,Lens,1,2,A,0,1,A,18,8,4,3,8,2,8,12,2,3,0,0
04/05/2025,19:45,Lille,Marseille,1,1,D,0,0,D,5,13,1,6,2,5,9,8,2,2,0,0
10/05/2025,20:00,Angers,Strasbourg,2,1,H,1,1,D,5,15,2,3,2,6,6,10,2,2,0,0
10/05/2025,20:00,Auxerre,Nantes,1,1,D,1,0,H,9,7,3,2,7,3,15,16,3,1,0,0
10/05/2025,20:00,Brest,Lille,2,0,H,1,0,H,12,18,4,2,3,7,6,14,1,1,0,0
10/05/2025,20:00,Le Havre,Marseille,1,3,A,0,0,D,10,22,4,5,2,9,12,12,2,2,0,0
10/05/2025,20:00,Monaco,Lyon,2,0,H,0,0,D,11,9,5,4,3,5,16,18,2,4,0,0
10/05/2025,20:00,Montpellier,Paris SG,1,4,A,0,1,A,9,10,4,8,5,4,14,11,1,1,0,0
10/05/2025,20:00,Reims,St Etienne,0,2,A,0,2,A,19,9,3,4,4,5,13,12,1,0,0,0
10/05/2025,20:00,Rennes,Nice,2,0,H,1,0,H,10,14,4,6,1,5,5,13,1,1,0,0
10/05/2025,20:00,Toulouse,Lens,1,1,D,0,0,D,9,12,6,2,2,1,17,12,2,5,0,0
17/05/2025,20:00,Lens,Monaco,4,0,H,1,0,H,15,6,5,4,5,4,14,9,1,1,0,1
17/05/2025,20:00,Lille,Reims,2,1,H,1,0,H,21,5,5,2,10,3,11,7,0,1,0,0
17/05/2025,20:00,Lyon,Angers,2,0,H,0,0,D,21,13,4,3,8,8,10,13,1,3,0,0
17/05/2025,20:00,Marseille,Rennes,4,2,H,3,1,H,17,9,10,3,5,5,8,12,3,3,0,0
17/05/2025,20:00,Nantes,Montpellier,3,0,H,2,0,H,18,9,6,0,7,2,14,9,3,1,0,0
17/05/2025,20:00,Nice,Brest,6,0,H,3,0,H,18,10,9,1,5,2,13,12,0,5,0,0
17/05/2025,20:00,Paris SG,Auxerre,3,1,H,0,1,A,21,7,9,2,5,2,10,9,1,2,0,0
17/05/2025,20:00,St Etienne,Toulouse,2,3,A,1,2,A,18,17,7,9,7,6,10,7,3,2,0,0
17/05/2025,20:00,Strasbourg,Le Havre,2,3,A,1,1,D,6,10,4,5,4,3,18,8,2,0,1,0
