Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,11/09/2022,14:00,Toulouse,Reims,1,0,H,1,0,H,14,11,3,1,4,6,17,11,2,2,0,1
F1,11/09/2022,16:05,Rennes,Auxerre,5,0,H,1,0,H,12,7,9,3,2,1,11,9,1,0,0,0
F1,11/09/2022,19:45,Monaco,Lyon,2,1,H,0,0,D,11,20,4,6,1,6,12,9,1,2,0,0
F1,16/09/2022,20:00,Auxerre,Lorient,1,3,A,0,3,A,17,12,5,8,9,5,13,11,3,1,0,0
F1,17/09/2022,16:00,Montpellier,Strasbourg,2,1,H,1,0,H,10,8,4,2,8,6,11,20,4,4,0,0
F1,17/09/2022,20:00,Lille,Toulouse,2,1,H,1,0,H,10,14,4,5,5,7,20,14,2,0,0,0
F1,18/09/2022,12:00,Reims,Monaco,0,3,A,0,0,D,9,20,2,11,5,4,14,16,3,3,1,0
F1,18/09/2022,14:00,Brest,Ajaccio,0,1,A,0,0,D,8,6,4,4,6,2,13,12,2,2,0,0
F1,18/09/2022,14:00,Clermont,Troyes,1,3,A,1,1,D,14,9,2,4,5,1,8,15,0,3,0,0
F1,18/09/2022,14:00,Marseille,Rennes,1,1,D,0,1,A,15,12,4,4,11,7,13,13,3,4,0,0
F1,18/09/2022,14:00,Nice,Angers,0,1,A,0,1,A,18,16,5,3,5,4,9,11,0,4,1,1
F1,18/09/2022,16:05,Nantes,Lens,0,0,D,0,0,D,12,8,4,2,3,7,14,14,1,1,0,0
F1,18/09/2022,19:45,Lyon,Paris SG,0,1,A,0,1,A,12,15,3,8,3,7,14,4,0,2,0,0
F1,30/09/2022,20:00,Angers,Marseille,0,3,A,0,1,A,16,15,5,7,6,3,9,14,0,0,0,0
F1,01/10/2022,16:00,Strasbourg,Rennes,1,3,A,0,1,A,9,17,3,7,1,5,9,13,0,2,1,0
F1,01/10/2022,20:00,Paris SG,Nice,2,1,H,1,0,H,12,4,4,1,4,0,16,9,1,1,0,0
F1,02/10/2022,12:00,Lorient,Lille,2,1,H,1,0,H,7,20,4,4,0,14,13,14,3,3,1,0
F1,02/10/2022,14:00,Ajaccio,Clermont,1,3,A,0,1,A,12,7,3,3,4,4,13,10,3,3,0,0
F1,02/10/2022,14:00,Auxerre,Brest,1,1,D,0,0,D,11,9,3,2,0,6,15,18,4,4,1,0
F1,02/10/2022,14:00,Toulouse,Montpellier,4,2,H,3,1,H,12,23,6,6,3,12,13,6,5,4,1,0
F1,02/10/2022,14:00,Troyes,Reims,2,2,D,0,1,A,19,5,6,2,10,2,13,13,4,2,0,1
F1,02/10/2022,16:05,Monaco,Nantes,4,1,H,3,0,H,10,7,6,2,7,7,8,10,0,1,0,0
F1,02/10/2022,19:45,Lens,Lyon,1,0,H,0,0,D,21,4,6,0,6,2,19,16,2,2,0,0
F1,07/10/2022,20:00,Lyon,Toulouse,1,1,D,1,0,H,19,5,8,2,4,5,13,11,2,2,0,0
F1,08/10/2022,16:00,Marseille,Ajaccio,1,2,A,1,1,D,10,6,2,1,11,2,17,18,0,2,0,0
F1,08/10/2022,20:00,Reims,Paris SG,0,0,D,0,0,D,24,11,4,3,7,3,20,12,3,5,0,1
F1,09/10/2022,12:00,Montpellier,Monaco,0,2,A,0,1,A,11,11,1,7,7,2,13,16,2,3,0,0
F1,09/10/2022,14:00,Angers,Strasbourg,2,3,A,1,2,A,14,15,8,7,6,6,16,14,1,1,0,0
F1,09/10/2022,14:00,Brest,Lorient,1,2,A,1,1,D,12,14,4,5,7,8,14,13,3,1,0,0
F1,09/10/2022,14:00,Clermont,Auxerre,2,1,H,0,0,D,10,14,6,5,4,4,4,17,0,0,0,0
F1,09/10/2022,14:00,Nice,Troyes,3,2,H,2,0,H,14,17,6,6,5,5,8,9,1,1,0,0
F1,09/10/2022,16:05,Rennes,Nantes,3,0,H,1,0,H,14,8,4,3,4,3,13,14,1,0,1,0
F1,09/10/2022,19:45,Lille,Lens,1,0,H,1,0,H,12,10,6,3,5,9,19,15,3,5,0,0
F1,14/10/2022,20:00,Strasbourg,Lille,0,3,A,0,1,A,12,10,1,7,3,0,12,17,3,1,0,0
F1,15/10/2022,16:00,Lorient,Reims,0,0,D,0,0,D,10,7,3,2,2,2,10,17,1,3,0,2
F1,15/10/2022,20:00,Lens,Montpellier,1,0,H,0,0,D,17,8,5,1,4,5,12,10,2,2,0,0
F1,16/10/2022,12:00,Toulouse,Angers,3,2,H,2,1,H,14,13,7,6,2,8,12,15,3,2,0,0
F1,16/10/2022,14:00,Auxerre,Nice,1,1,D,1,1,D,11,9,3,2,2,6,11,3,0,0,0,0
F1,16/10/2022,14:00,Nantes,Brest,4,1,H,2,1,H,17,11,6,2,7,5,12,10,0,2,0,0
F1,16/10/2022,14:00,Rennes,Lyon,3,2,H,1,1,D,14,7,5,5,3,2,13,14,2,2,0,0
F1,16/10/2022,14:00,Troyes,Ajaccio,1,1,D,0,0,D,9,15,2,7,3,5,8,14,2,1,0,0
F1,16/10/2022,16:05,Monaco,Clermont,1,1,D,1,0,H,6,21,4,7,3,4,8,11,2,4,1,0
F1,16/10/2022,19:45,Paris SG,Marseille,1,0,H,1,0,H,23,18,8,7,7,6,9,16,1,0,0,1
F1,21/10/2022,20:00,Ajaccio,Paris SG,0,3,A,0,1,A,8,11,1,6,3,8,13,13,0,1,0,0
F1,22/10/2022,16:00,Montpellier,Lyon,1,2,A,0,1,A,10,21,4,10,4,7,9,18,2,2,1,1
F1,22/10/2022,20:00,Marseille,Lens,0,1,A,0,0,D,13,12,3,4,7,3,19,20,3,3,0,0
F1,23/10/2022,12:00,Angers,Rennes,1,2,A,0,1,A,7,14,2,5,5,6,9,11,2,2,0,0
F1,23/10/2022,14:00,Clermont,Brest,1,3,A,0,1,A,14,19,4,11,7,4,10,17,4,1,0,0
F1,23/10/2022,14:00,Reims,Auxerre,2,1,H,1,1,D,19,10,10,2,8,2,13,12,4,0,0,0
F1,23/10/2022,14:00,Toulouse,Strasbourg,2,2,D,1,0,H,17,11,6,5,6,6,14,8,2,1,1,0
F1,23/10/2022,14:00,Troyes,Lorient,2,2,D,1,0,H,13,21,4,5,3,6,8,9,2,0,0,0
F1,23/10/2022,16:05,Nice,Nantes,1,1,D,0,0,D,11,11,5,4,7,3,9,9,3,4,0,2
F1,23/10/2022,19:45,Lille,Monaco,4,3,H,2,2,D,20,9,7,6,6,6,8,10,1,2,0,0
F1,28/10/2022,20:00,Lens,Toulouse,3,0,H,0,0,D,13,9,8,0,6,8,12,13,2,1,0,0
F1,29/10/2022,16:00,Paris SG,Troyes,4,3,H,1,1,D,19,16,11,5,8,4,9,12,0,3,0,0
F1,29/10/2022,20:00,Strasbourg,Marseille,2,2,D,0,2,A,12,13,5,5,3,0,14,11,0,2,0,0
F1,30/10/2022,12:00,Auxerre,Ajaccio,1,0,H,1,0,H,18,5,5,1,5,5,13,12,1,1,1,1
F1,30/10/2022,14:00,Brest,Reims,0,0,D,0,0,D,12,11,4,3,5,5,15,13,1,1,0,0
F1,30/10/2022,14:00,Monaco,Angers,2,0,H,0,0,D,8,8,5,4,7,0,18,15,3,3,0,0
F1,30/10/2022,14:00,Nantes,Clermont,1,1,D,0,0,D,13,10,4,6,2,2,15,9,0,2,0,0
F1,30/10/2022,14:00,Rennes,Montpellier,3,0,H,2,0,H,14,8,3,3,3,4,15,12,1,2,0,0
F1,30/10/2022,16:05,Lorient,Nice,1,2,A,1,0,H,14,16,8,5,8,3,7,7,0,1,0,0
F1,30/10/2022,19:45,Lyon,Lille,1,0,H,0,0,D,6,15,3,5,3,6,11,15,3,1,0,0
F1,04/11/2022,20:00,Troyes,Auxerre,1,1,D,1,0,H,21,13,6,2,10,5,9,10,2,0,0,0
F1,05/11/2022,16:00,Ajaccio,Strasbourg,4,2,H,4,2,H,12,9,7,5,4,3,15,20,0,4,1,0
F1,05/11/2022,20:00,Angers,Lens,1,2,A,0,1,A,6,12,3,4,3,4,16,6,1,2,0,0
F1,06/11/2022,12:00,Lorient,Paris SG,1,2,A,0,1,A,9,15,2,8,5,8,10,9,1,1,0,0
F1,06/11/2022,14:00,Clermont,Montpellier,1,1,D,0,1,A,16,7,7,3,5,1,14,17,1,2,0,0
F1,06/11/2022,14:00,Nice,Brest,1,0,H,0,0,D,14,12,9,2,2,6,6,11,1,1,0,0
F1,06/11/2022,14:00,Reims,Nantes,1,0,H,0,0,D,22,15,9,5,10,4,7,13,2,4,0,1
F1,06/11/2022,14:00,Toulouse,Monaco,0,2,A,0,0,D,13,24,5,10,7,6,9,11,0,1,0,0
F1,06/11/2022,16:05,Lille,Rennes,1,1,D,1,0,H,19,3,7,2,6,2,9,14,4,1,0,1
F1,06/11/2022,19:45,Marseille,Lyon,1,0,H,1,0,H,6,11,2,4,6,4,9,13,0,1,0,0
F1,11/11/2022,20:00,Lyon,Nice,1,1,D,0,1,A,9,13,3,3,3,4,7,7,1,0,0,0
F1,12/11/2022,16:00,Lens,Clermont,2,1,H,0,1,A,16,5,3,2,5,3,19,17,1,3,0,0
F1,12/11/2022,20:00,Rennes,Toulouse,2,1,H,1,0,H,16,10,8,4,4,4,9,10,0,0,0,0
F1,13/11/2022,12:00,Paris SG,Auxerre,5,0,H,1,0,H,9,9,6,3,3,7,5,7,0,0,0,0
F1,13/11/2022,14:00,Brest,Troyes,2,1,H,0,0,D,15,8,5,2,5,5,13,12,3,2,0,1
F1,13/11/2022,14:00,Lille,Angers,1,0,H,1,0,H,9,8,4,2,2,6,18,12,3,1,1,0
F1,13/11/2022,14:00,Montpellier,Reims,1,1,D,0,0,D,16,17,8,4,11,7,15,15,2,2,0,0
F1,13/11/2022,14:00,Nantes,Ajaccio,2,2,D,0,0,D,15,13,5,4,9,6,16,17,3,3,0,0
F1,13/11/2022,16:05,Strasbourg,Lorient,1,1,D,0,1,A,20,6,4,2,4,2,9,9,4,1,0,0
F1,13/11/2022,19:45,Monaco,Marseille,2,3,A,1,1,D,11,11,6,3,5,4,17,9,3,1,0,0
F1,28/12/2022,14:00,Ajaccio,Angers,1,0,H,1,0,H,11,14,3,4,3,5,13,13,1,0,0,0
F1,28/12/2022,14:00,Troyes,Nantes,0,0,D,0,0,D,6,19,2,5,4,4,9,13,0,2,0,0
F1,28/12/2022,16:00,Auxerre,Monaco,2,3,A,1,1,D,11,6,6,3,1,3,9,15,1,0,0,0
F1,28/12/2022,18:00,Clermont,Lille,0,2,A,0,0,D,9,14,3,3,3,3,9,17,4,2,1,0
F1,28/12/2022,20:00,Brest,Lyon,2,4,A,1,3,A,17,17,5,10,6,6,8,19,2,2,0,0
F1,28/12/2022,20:00,Paris SG,Strasbourg,2,1,H,1,0,H,9,10,6,3,8,3,6,12,4,1,1,0
F1,29/12/2022,16:00,Lorient,Montpellier,0,2,A,0,2,A,12,14,4,6,5,2,15,15,3,4,0,0
F1,29/12/2022,18:00,Reims,Rennes,3,1,H,2,1,H,10,11,4,5,4,6,8,8,2,2,0,0
F1,29/12/2022,20:00,Marseille,Toulouse,6,1,H,2,0,H,13,10,7,6,1,6,14,8,1,2,0,0
F1,29/12/2022,20:00,Nice,Lens,0,0,D,0,0,D,9,10,5,2,4,6,11,18,2,3,0,0
F1,01/01/2023,14:00,Angers,Lorient,1,2,A,1,0,H,14,10,6,5,7,7,16,9,3,0,0,0
F1,01/01/2023,14:00,Monaco,Brest,1,0,H,0,0,D,17,13,5,6,7,5,23,14,3,4,0,0
F1,01/01/2023,14:00,Nantes,Auxerre,1,0,H,0,0,D,10,14,3,6,3,7,10,19,1,2,0,0
F1,01/01/2023,14:00,Toulouse,Ajaccio,2,0,H,0,0,D,11,1,4,0,5,2,15,15,3,1,0,0
F1,01/01/2023,16:00,Lyon,Clermont,0,1,A,0,0,D,13,13,2,3,7,4,21,13,1,3,0,0
F1,01/01/2023,19:45,Lens,Paris SG,3,1,H,2,1,H,10,16,4,6,3,7,16,12,2,3,0,0
F1,02/01/2023,14:00,Strasbourg,Troyes,2,3,A,1,2,A,17,9,7,5,3,1,10,12,1,2,0,0
F1,02/01/2023,16:00,Lille,Reims,1,1,D,1,0,H,14,9,5,6,5,1,8,12,1,1,0,0
F1,02/01/2023,18:00,Montpellier,Marseille,1,2,A,0,0,D,8,18,1,9,5,7,10,14,2,2,0,1
F1,02/01/2023,20:00,Rennes,Nice,2,1,H,1,1,D,20,7,5,3,5,2,16,7,1,1,0,0
F1,11/01/2023,18:00,Ajaccio,Reims,0,1,A,0,1,A,11,9,1,3,2,2,20,22,3,3,0,0
F1,11/01/2023,18:00,Auxerre,Toulouse,0,5,A,0,3,A,19,9,4,7,7,4,22,13,3,1,0,0
F1,11/01/2023,18:00,Brest,Lille,0,0,D,0,0,D,5,11,0,4,0,8,15,12,0,1,0,0
F1,11/01/2023,18:00,Clermont,Rennes,2,1,H,1,0,H,11,9,5,2,4,1,12,13,0,2,0,2
F1,11/01/2023,18:00,Nantes,Lyon,0,0,D,0,0,D,13,10,5,6,6,1,12,15,2,3,0,0
F1,11/01/2023,20:00,Lorient,Monaco,2,2,D,0,0,D,8,16,6,4,3,4,8,13,1,1,0,0
F1,11/01/2023,20:00,Nice,Montpellier,6,1,H,2,0,H,16,4,10,2,3,4,16,17,1,1,0,0
F1,11/01/2023,20:00,Paris SG,Angers,2,0,H,1,0,H,9,6,6,0,5,1,5,10,1,2,0,0
F1,11/01/2023,20:00,Strasbourg,Lens,2,2,D,2,2,D,9,15,6,8,3,4,15,10,1,1,0,0
F1,11/01/2023,20:00,Troyes,Marseille,0,2,A,0,1,A,5,13,1,4,4,7,12,13,2,3,0,0
F1,14/01/2023,16:00,Lens,Auxerre,1,0,H,0,0,D,10,6,2,1,9,2,21,16,2,4,0,1
F1,14/01/2023,18:00,Marseille,Lorient,3,1,H,1,1,D,16,11,8,3,6,3,14,12,1,0,0,0
F1,14/01/2023,20:00,Lyon,Strasbourg,1,2,A,1,2,A,28,8,7,6,14,2,10,16,1,3,0,0
F1,15/01/2023,12:00,Lille,Troyes,5,1,H,2,0,H,23,10,13,2,7,2,12,5,1,0,0,0
F1,15/01/2023,14:00,Angers,Clermont,1,2,A,0,1,A,5,10,1,6,3,1,15,11,2,2,0,0
F1,15/01/2023,14:00,Montpellier,Nantes,0,3,A,0,1,A,11,12,5,7,3,5,13,14,1,2,2,0
F1,15/01/2023,14:00,Reims,Nice,0,0,D,0,0,D,13,6,2,4,5,3,5,5,1,1,0,0
F1,15/01/2023,14:00,Toulouse,Brest,1,1,D,0,1,A,16,17,7,5,10,5,16,12,2,2,0,0
F1,15/01/2023,16:05,Monaco,Ajaccio,7,1,H,5,1,H,11,5,8,2,3,3,8,14,1,2,0,0
F1,15/01/2023,19:45,Rennes,Paris SG,1,0,H,0,0,D,8,8,6,1,4,5,8,17,0,0,0,0
F1,27/01/2023,20:00,Lorient,Rennes,2,1,H,2,0,H,4,19,4,6,2,10,4,6,1,1,0,0
F1,28/01/2023,16:00,Troyes,Lens,1,1,D,0,0,D,6,21,1,5,3,11,12,7,2,2,0,0
F1,28/01/2023,20:00,Marseille,Monaco,1,1,D,0,1,A,22,11,6,4,6,3,7,9,2,2,0,0
F1,29/01/2023,12:00,Nice,Lille,1,0,H,1,0,H,12,16,6,7,5,7,12,11,3,2,0,0
F1,29/01/2023,14:00,Auxerre,Montpellier,0,2,A,0,0,D,16,4,5,3,5,3,13,18,1,3,0,0
F1,29/01/2023,14:00,Brest,Angers,4,0,H,2,0,H,9,8,7,1,4,5,10,17,0,2,0,0
F1,29/01/2023,14:00,Clermont,Nantes,0,0,D,0,0,D,9,4,0,0,9,1,9,23,2,1,0,0
F1,29/01/2023,14:00,Strasbourg,Toulouse,1,2,A,1,1,D,11,10,2,3,4,2,14,10,2,2,1,0
F1,29/01/2023,16:05,Ajaccio,Lyon,0,2,A,0,1,A,16,8,5,2,5,1,22,18,2,3,0,0
F1,29/01/2023,19:45,Paris SG,Reims,1,1,D,0,0,D,12,17,5,4,3,3,5,10,2,1,1,0
F1,01/02/2023,18:00,Angers,Ajaccio,1,2,A,1,0,H,6,9,2,4,2,6,18,11,1,2,1,0
F1,01/02/2023,18:00,Lille,Clermont,0,0,D,0,0,D,22,13,5,5,8,3,15,11,0,1,0,0
F1,01/02/2023,18:00,Nantes,Marseille,0,2,A,0,0,D,12,13,2,4,5,7,14,16,4,3,0,0
F1,01/02/2023,18:00,Reims,Lorient,4,2,H,1,2,A,31,12,9,5,5,7,11,7,1,0,0,0
F1,01/02/2023,18:00,Toulouse,Troyes,4,1,H,2,1,H,13,11,6,3,8,0,12,14,2,3,0,0
F1,01/02/2023,20:00,Lens,Nice,0,1,A,0,0,D,9,14,4,6,5,3,12,8,0,2,0,0
F1,01/02/2023,20:00,Lyon,Brest,0,0,D,0,0,D,28,8,8,1,15,2,10,13,0,0,0,0
F1,01/02/2023,20:00,Monaco,Auxerre,3,2,H,2,0,H,16,11,6,3,5,4,11,7,0,0,0,0
F1,01/02/2023,20:00,Montpellier,Paris SG,1,3,A,0,0,D,6,19,3,8,1,3,9,12,1,1,0,0
F1,01/02/2023,20:00,Rennes,Strasbourg,3,0,H,2,0,H,6,3,3,0,4,0,12,13,0,1,0,0
F1,04/02/2023,16:00,Paris SG,Toulouse,2,1,H,1,1,D,22,14,5,5,6,2,9,14,2,2,0,0
F1,04/02/2023,18:00,Troyes,Lyon,1,3,A,0,1,A,8,10,2,6,5,6,10,14,0,1,0,0
F1,04/02/2023,20:00,Rennes,Lille,1,3,A,1,0,H,10,15,6,6,2,1,16,9,1,2,0,0
F1,05/02/2023,12:00,Clermont,Monaco,0,2,A,0,2,A,8,14,3,5,2,4,9,21,1,2,0,0
F1,05/02/2023,14:00,Ajaccio,Nantes,0,2,A,0,0,D,8,7,2,3,2,2,16,16,2,1,1,0
F1,05/02/2023,14:00,Auxerre,Reims,0,0,D,0,0,D,12,8,3,4,4,5,13,10,2,0,0,0
F1,05/02/2023,14:00,Lorient,Angers,0,0,D,0,0,D,13,13,2,5,8,6,16,16,2,4,0,0
F1,05/02/2023,14:00,Strasbourg,Montpellier,2,0,H,2,0,H,6,11,2,0,4,7,11,16,3,1,1,0
F1,05/02/2023,16:05,Brest,Lens,1,1,D,0,0,D,16,20,3,7,11,5,15,9,4,2,0,0
F1,05/02/2023,19:45,Marseille,Nice,1,3,A,0,2,A,22,14,5,8,9,1,10,5,0,1,0,0
F1,10/02/2023,20:00,Nice,Ajaccio,3,0,H,1,0,H,11,6,3,3,5,5,9,7,1,0,0,0
F1,11/02/2023,16:00,Monaco,Paris SG,3,1,H,3,1,H,19,7,9,2,3,2,9,11,0,1,0,0
F1,11/02/2023,20:00,Clermont,Marseille,0,2,A,0,1,A,9,17,4,5,3,4,15,16,4,3,0,0
F1,12/02/2023,12:00,Toulouse,Rennes,3,1,H,3,0,H,13,13,7,4,2,7,12,17,1,1,0,0
F1,12/02/2023,14:00,Angers,Auxerre,1,1,D,1,1,D,10,15,5,4,6,4,10,9,2,0,0,0
F1,12/02/2023,14:00,Lille,Strasbourg,2,0,H,2,0,H,14,5,10,0,5,4,13,13,1,2,0,0
F1,12/02/2023,14:00,Montpellier,Brest,3,0,H,2,0,H,16,10,7,2,4,3,15,20,1,2,0,0
F1,12/02/2023,14:00,Reims,Troyes,4,0,H,2,0,H,20,7,10,2,5,2,13,14,1,2,0,0
F1,12/02/2023,16:05,Nantes,Lorient,1,0,H,0,0,D,13,9,6,5,7,3,12,11,0,0,0,0
