date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2023-08-11 19:00:00,Burnley,Manchester City,0,3,A,0.311032,2.40074,EPL,2324
2023-08-12 11:30:00,Arsenal,Nottingham Forest,2,1,H,0.84262,0.966305,EPL,2324
2023-08-12 14:00:00,Bournemouth,West Ham,1,1,D,1.51025,1.4834,EPL,2324
2023-08-12 14:00:00,Brighton,Luton,4,1,H,4.36748,1.88594,EPL,2324
2023-08-12 14:00:00,Everton,Fulham,0,1,A,2.59001,1.58144,EPL,2324
2023-08-12 14:00:00,Sheffield United,Crystal Palace,0,1,A,0.422704,2.27616,EPL,2324
2023-08-12 16:30:00,Newcastle United,Aston Villa,5,1,H,4.32208,1.486,EPL,2324
2023-08-13 13:00:00,Brentford,Tottenham,2,2,D,1.90756,1.45316,EPL,2324
2023-08-13 15:30:00,Chelsea,Liverpool,1,1,D,1.93258,1.29994,EPL,2324
2023-08-14 19:00:00,Manchester United,Wolverhampton Wanderers,1,0,H,1.97087,1.72228,EPL,2324
2023-08-18 18:45:00,Nottingham Forest,Sheffield United,2,1,H,1.37181,0.551038,EPL,2324
2023-08-19 14:00:00,Wolverhampton Wanderers,Brighton,1,4,A,2.68821,3.15562,EPL,2324
2023-08-19 14:00:00,Fulham,Brentford,0,3,A,0.399899,3.46888,EPL,2324
2023-08-19 14:00:00,Liverpool,Bournemouth,3,1,H,3.25448,1.3867,EPL,2324
2023-08-19 16:30:00,Tottenham,Manchester United,2,0,H,2.53904,2.44604,EPL,2324
2023-08-19 19:00:00,Manchester City,Newcastle United,1,0,H,1.22528,0.257154,EPL,2324
2023-08-20 13:00:00,Aston Villa,Everton,4,0,H,3.24336,0.721465,EPL,2324
2023-08-20 15:30:00,West Ham,Chelsea,3,1,H,1.71234,1.60916,EPL,2324
2023-08-21 19:00:00,Crystal Palace,Arsenal,0,1,A,1.06916,2.20593,EPL,2324
2023-08-25 19:00:00,Chelsea,Luton,3,0,H,3.41419,0.465741,EPL,2324
2023-08-26 11:30:00,Bournemouth,Tottenham,0,2,A,0.483582,2.26115,EPL,2324
2023-08-26 14:00:00,Arsenal,Fulham,2,2,D,3.23088,0.849817,EPL,2324
2023-08-26 14:00:00,Brentford,Crystal Palace,1,1,D,0.948011,1.06061,EPL,2324
2023-08-26 14:00:00,Everton,Wolverhampton Wanderers,0,1,A,1.89792,1.40228,EPL,2324
2023-08-26 14:00:00,Manchester United,Nottingham Forest,3,2,H,3.02803,0.960354,EPL,2324
2023-08-26 16:30:00,Brighton,West Ham,1,3,A,1.3743,2.9527,EPL,2324
2023-08-27 13:00:00,Burnley,Aston Villa,1,3,A,0.630605,2.83691,EPL,2324
2023-08-27 13:00:00,Sheffield United,Manchester City,1,2,A,0.762232,3.84804,EPL,2324
2023-08-27 15:30:00,Newcastle United,Liverpool,1,2,A,1.62037,0.856121,EPL,2324
2023-09-01 19:00:00,Luton,West Ham,1,2,A,2.02244,1.22528,EPL,2324
2023-09-02 11:30:00,Sheffield United,Everton,2,2,D,1.575,2.73871,EPL,2324
2023-09-02 14:00:00,Manchester City,Fulham,5,1,H,2.00152,1.46427,EPL,2324
2023-09-02 14:00:00,Brentford,Bournemouth,2,2,D,3.07185,2.11013,EPL,2324
2023-09-02 14:00:00,Burnley,Tottenham,2,5,A,1.66604,2.39785,EPL,2324
2023-09-02 14:00:00,Chelsea,Nottingham Forest,0,1,A,2.28442,1.1505,EPL,2324
2023-09-02 16:30:00,Brighton,Newcastle United,3,1,H,1.32258,0.90476,EPL,2324
2023-09-03 13:00:00,Crystal Palace,Wolverhampton Wanderers,3,2,H,2.32935,1.13911,EPL,2324
2023-09-03 13:00:00,Liverpool,Aston Villa,3,0,H,2.73138,0.615503,EPL,2324
2023-09-03 15:30:00,Arsenal,Manchester United,3,1,H,1.90973,0.966109,EPL,2324
2023-09-16 11:30:00,Wolverhampton Wanderers,Liverpool,1,3,A,0.538833,2.82701,EPL,2324
2023-09-16 14:00:00,Tottenham,Sheffield United,2,1,H,2.15909,0.790655,EPL,2324
2023-09-16 14:00:00,West Ham,Manchester City,1,3,A,0.895632,4.15046,EPL,2324
2023-09-16 14:00:00,Aston Villa,Crystal Palace,3,1,H,2.31518,1.11696,EPL,2324
